household_key,actual_churn_flag,p_churn_raw,p_churn_calibrated,predicted_churn,p_future_active,predicted_discounted_value_60d_if_active,predicted_expected_discounted_value_60d,annual_discount_rate,future_active_flag,future_revenue_60d,discounted_future_revenue_60d,risk_decile,value_decile,priority_segment,risk_rank,risk_value_score,risk_value_rank,expected_incremental_profit_conservative,profitable_to_treat_conservative,predicted_discounted_margin_60d_if_active_conservative,predicted_expected_discounted_margin_60d_conservative,expected_incremental_profit_base,profitable_to_treat_base,predicted_discounted_margin_60d_if_active_base,predicted_expected_discounted_margin_60d_base,expected_incremental_profit_optimistic,profitable_to_treat_optimistic,predicted_discounted_margin_60d_if_active_optimistic,predicted_expected_discounted_margin_60d_optimistic,profit_rank_base,priority_rank,priority_rank_source,recommended_treatment_action_base,business_decision_note_base,recommended_item_1,recommended_item_group_1,predicted_purchase_score_1,strongest_purchased_anchor_item_1,strongest_purchased_anchor_group_1,anchor_item_similarity_1,score_method_1,rule_group_1,discount_leakage_risk_1,recommended_item_2,recommended_item_group_2,predicted_purchase_score_2,strongest_purchased_anchor_item_2,strongest_purchased_anchor_group_2,anchor_item_similarity_2,score_method_2,rule_group_2,discount_leakage_risk_2,recommended_item_3,recommended_item_group_3,predicted_purchase_score_3,strongest_purchased_anchor_item_3,strongest_purchased_anchor_group_3,anchor_item_similarity_3,score_method_3,rule_group_3,discount_leakage_risk_3,offer_available_flag,recommendation_source,primary_offer_discount_leakage_risk
1031,1,0.7529916,1.0,1,0.47368421052631576,74.01970422287397,35.061965158203456,0.08,0,0.0,0.0,1,9,High Risk - Low Value,1,74.01970422287397,79,-4.555881784589572,False,14.803940844574795,7.012393031640691,-4.074753683426831,False,18.504926055718492,8.765491289550864,-3.223527138358288,False,22.20591126686219,10.518589547461037,79,1,risk_rank_fallback_no_positive_base_profit,A/B test candidate only; not profitable under base assumptions,"No positive expected profit under base scenario; use risk/risk-value ranking for A/B test candidate selection, not auto-targeting.",PASTA SAUCE,GROCERY,0.3164439990695901,DRY NOODLES/PASTA,GROCERY,0.5010828360778531,top_5_filtered_similarity_mean,,unknown,PEPPERS-ALL,PRODUCE,0.2445098339722407,ONIONS,PRODUCE,0.3075117366367512,top_5_filtered_similarity_mean,,unknown,FROZEN MEAT,MEAT-PCKGD,0.2066536386460709,FROZEN PIZZA,GROCERY,0.2228097770077094,top_5_filtered_similarity_mean,,unknown,True,M3_RecSys_personalized_voucher,unknown
1184,0,0.7157614,1.0,1,0.5882352941176471,54.38936005830086,31.99374121076521,0.08,1,48.08,47.65609286262118,1,9,High Risk - Low Value,2,54.38936005830086,193,-4.673663846944376,False,10.877872011660173,6.398748242153043,-4.320132989140432,False,13.597340014575215,7.998435302691303,-3.6946553877775057,False,16.316808017490256,9.598122363229564,193,2,risk_rank_fallback_no_positive_base_profit,A/B test candidate only; not profitable under base assumptions,"No positive expected profit under base scenario; use risk/risk-value ranking for A/B test candidate selection, not auto-targeting.",BAG SNACKS,GROCERY,0.3548738101246966,BAKED BREAD/BUNS/ROLLS,GROCERY,0.3899231437647368,top_5_filtered_similarity_mean,,unknown,CHEESES,DELI,0.274251680834781,DELI MEATS,DELI,0.5124038182012465,top_5_filtered_similarity_mean,,unknown,TOMATOES,PRODUCE,0.266733281915695,VEGETABLES - ALL OTHERS,PRODUCE,0.2848437197977615,top_5_filtered_similarity_mean,,unknown,True,M3_RecSys_personalized_voucher,unknown
1301,0,0.7191155,1.0,1,0.7916666666666666,30.39693349313341,24.06423901539728,0.08,1,31.34,30.952536678554473,1,10,High Risk - Low Value,3,30.39693349313341,642,-4.817618403117746,False,6.079386698626682,4.812847803079457,-4.6200383256739626,False,7.599233373283353,6.01605975384932,-4.270473612470984,False,9.119080047940022,7.219271704619183,642,3,risk_rank_fallback_no_positive_base_profit,A/B test candidate only; not profitable under base assumptions,"No positive expected profit under base scenario; use risk/risk-value ranking for A/B test candidate selection, not auto-targeting.",DELI MEATS,DELI,0.3238446237333811,CHEESES,DELI,0.5124038182012465,top_5_filtered_similarity_mean,,unknown,CRACKERS/MISC BKD FD,GROCERY,0.3129574168401167,CHEESE,GROCERY,0.3392631991884591,top_5_filtered_similarity_mean,,unknown,ONIONS,PRODUCE,0.2831766330037848,PEPPERS-ALL,PRODUCE,0.3075117366367512,top_5_filtered_similarity_mean,,unknown,True,M3_RecSys_personalized_voucher,unknown
1403,1,0.742341,1.0,1,0.8823529411764706,30.977768773831556,27.3333253886749,0.08,1,25.38,25.267570257267614,1,9,High Risk - Low Value,4,30.977768773831556,624,-4.8141333915114535,False,6.195553754766312,5.46666507773498,-4.612777884557047,False,7.744442193457889,6.833331347168725,-4.256533566045813,False,9.293330632149466,8.19999761660247,624,4,risk_rank_fallback_no_positive_base_profit,A/B test candidate only; not profitable under base assumptions,"No positive expected profit under base scenario; use risk/risk-value ranking for A/B test candidate selection, not auto-targeting.",REFRGRATD JUICES/DRNKS,GROCERY,0.2934740440297717,FLUID MILK PRODUCTS,GROCERY,0.3483265945723694,top_5_filtered_similarity_mean,,unknown,TOMATOES,PRODUCE,0.2761557904804445,VEGETABLES SALAD,PRODUCE,0.3217203886769275,top_5_filtered_similarity_mean,,unknown,HOT DOGS,MEAT-PCKGD,0.2448886810772522,BAKED BREAD/BUNS/ROLLS,GROCERY,0.3003419980271218,top_5_filtered_similarity_mean,,unknown,True,M3_RecSys_personalized_voucher,unknown
1455,1,0.7157614,1.0,1,0.2448132662379873,79.58574457431465,19.483646075220143,0.08,0,0.0,0.0,1,10,High Risk - Low Value,5,79.58574457431465,66,-4.5224855432273925,False,15.91714891486293,3.896729215044029,-4.005178177997067,False,19.89643614357866,4.870911518805036,-3.089942172909569,False,23.87572337229439,5.845093822566043,66,5,risk_rank_fallback_no_positive_base_profit,A/B test candidate only; not profitable under base assumptions,"No positive expected profit under base scenario; use risk/risk-value ranking for A/B test candidate selection, not auto-targeting.",TROPICAL FRUIT,PRODUCE,0.3256148474533174,FLUID MILK PRODUCTS,GROCERY,0.377251208615489,top_5_filtered_similarity_mean,,unknown,DRY BN/VEG/POTATO/RICE,GROCERY,0.2738456439392192,VEGETABLES - SHELF STABLE,GROCERY,0.3098131037514412,top_5_filtered_similarity_mean,,unknown,PORK,MEAT,0.2479123664164924,BEEF,MEAT,0.3058265786268862,top_5_filtered_similarity_mean,,unknown,True,M3_RecSys_personalized_voucher,unknown
179,1,0.71778226,1.0,1,0.5,39.81428017720655,19.907140088603274,0.08,0,0.0,0.0,1,10,High Risk - Low Value,6,39.81428017720655,404,-4.761114324276272,False,7.96285603544131,3.981428017720655,-4.502321490368931,False,9.953570044301637,4.9767850221508185,-4.044457297105087,False,11.944284053161963,5.972142026580982,404,6,risk_rank_fallback_no_positive_base_profit,A/B test candidate only; not profitable under base assumptions,"No positive expected profit under base scenario; use risk/risk-value ranking for A/B test candidate selection, not auto-targeting.",FLUID MILK PRODUCTS,GROCERY,0.4036245182842027,BAKED BREAD/BUNS/ROLLS,GROCERY,0.4796043164210295,top_5_filtered_similarity_mean,,unknown,TROPICAL FRUIT,PRODUCE,0.2969987698037973,BAKED BREAD/BUNS/ROLLS,GROCERY,0.3675592470041082,top_5_filtered_similarity_mean,,unknown,DELI MEATS,DELI,0.2506054167925324,BAKED BREAD/BUNS/ROLLS,GROCERY,0.3380404700364719,top_5_filtered_similarity_mean,,unknown,True,M3_RecSys_personalized_voucher,unknown
1840,1,0.71778226,1.0,1,0.47368421052631576,39.14394419409031,18.54186830246383,0.08,0,0.0,0.0,1,10,High Risk - Low Value,7,39.14394419409031,422,-4.76513634008507,False,7.828788838818062,3.708373660492766,-4.510700690282743,False,9.785986048522577,4.635467075615957,-4.060545360340281,False,11.743183258227093,5.562560490739148,422,7,risk_rank_fallback_no_positive_base_profit,A/B test candidate only; not profitable under base assumptions,"No positive expected profit under base scenario; use risk/risk-value ranking for A/B test candidate selection, not auto-targeting.",BEEF,MEAT,0.3451314220461449,BAKED BREAD/BUNS/ROLLS,GROCERY,0.3997660674090124,top_5_filtered_similarity_mean,A_campaign_ready,low,COLD CEREAL,GROCERY,0.3289829414998365,FLUID MILK PRODUCTS,GROCERY,0.4036067148908331,top_5_filtered_similarity_mean,A_campaign_ready,low,TROPICAL FRUIT,PRODUCE,0.3144469946558584,FLUID MILK PRODUCTS,GROCERY,0.377251208615489,top_5_filtered_similarity_mean,,unknown,True,M3_RecSys_personalized_voucher,low
1973,1,0.7326947,1.0,1,0.5,47.62656657929425,23.813283289647124,0.08,0,0.0,0.0,1,10,High Risk - Low Value,8,47.62656657929425,260,-4.714240606911455,False,9.52531331585885,4.762656657929425,-4.404667908887682,False,11.906641644823562,5.953320822411781,-3.8569624276458194,False,14.287969973788273,7.143984986894137,260,8,risk_rank_fallback_no_positive_base_profit,A/B test candidate only; not profitable under base assumptions,"No positive expected profit under base scenario; use risk/risk-value ranking for A/B test candidate selection, not auto-targeting.",COLD CEREAL,GROCERY,0.3266738318317355,FLUID MILK PRODUCTS,GROCERY,0.4036067148908331,top_5_filtered_similarity_mean,A_campaign_ready,low,DELI MEATS,DELI,0.3238446237333811,CHEESES,DELI,0.5124038182012465,top_5_filtered_similarity_mean,,unknown,SALAD MIX,PRODUCE,0.2596620162630081,SALD DRSNG/SNDWCH SPRD,GROCERY,0.274255010228644,top_5_filtered_similarity_mean,,unknown,True,M3_RecSys_personalized_voucher,low
1974,1,0.74546,1.0,1,0.5882352941176471,147.92247590405495,87.01322112003233,0.08,0,0.0,0.0,1,7,High Risk - Low Value,9,147.92247590405495,4,-4.11246516441362,False,29.58449518081099,17.402644224006465,-3.150969023646605,False,36.98061897601374,21.75330528000808,-1.4498606576544808,False,44.376742771216485,26.103966336009698,4,9,risk_rank_fallback_no_positive_base_profit,A/B test candidate only; not profitable under base assumptions,"No positive expected profit under base scenario; use risk/risk-value ranking for A/B test candidate selection, not auto-targeting.",MEAT - SHELF STABLE,GROCERY,0.2842553632575912,DINNER MXS:DRY,GROCERY,0.3028661333919106,top_5_filtered_similarity_mean,,unknown,PORK,MEAT,0.2479123664164924,BEEF,MEAT,0.3058265786268862,top_5_filtered_similarity_mean,,unknown,PEPPERS-ALL,PRODUCE,0.2445098339722407,ONIONS,PRODUCE,0.3075117366367512,top_5_filtered_similarity_mean,,unknown,True,M3_RecSys_personalized_voucher,unknown
2051,1,0.73998165,1.0,1,0.5,74.50042907311489,37.25021453655744,0.08,0,0.0,0.0,1,9,High Risk - Low Value,10,74.50042907311489,78,-4.552997435552597,False,14.900085814622978,7.450042907311489,-4.068744622709278,False,18.62510726827872,9.31255363413936,-3.2119897422103874,False,22.350128721934464,11.175064360967232,78,10,risk_rank_fallback_no_positive_base_profit,A/B test candidate only; not profitable under base assumptions,"No positive expected profit under base scenario; use risk/risk-value ranking for A/B test candidate selection, not auto-targeting.",POTATOES,PRODUCE,0.2694742995785554,BEEF,MEAT,0.2863332507481838,top_5_filtered_similarity_mean,,unknown,BACON,MEAT-PCKGD,0.2488796177918003,EGGS,GROCERY,0.2782867893324901,top_5_filtered_similarity_mean,,unknown,PORK,MEAT,0.2479123664164924,BEEF,MEAT,0.3058265786268862,top_5_filtered_similarity_mean,,unknown,True,M3_RecSys_personalized_voucher,unknown
2066,0,0.73219436,1.0,1,0.7916666666666666,25.162189495514284,19.920066683948807,0.08,1,4.13,4.07894002472128,1,10,High Risk - Low Value,11,25.162189495514284,828,-4.849026866401427,False,5.032437899102857,3.9840133367897614,-4.685472626619249,False,6.290547373878571,4.980016670987202,-4.3961074656057075,False,7.548656848654285,5.976020005184642,828,11,risk_rank_fallback_no_positive_base_profit,A/B test candidate only; not profitable under base assumptions,"No positive expected profit under base scenario; use risk/risk-value ranking for A/B test candidate selection, not auto-targeting.",VEGETABLES - SHELF STABLE,GROCERY,0.3317318168679626,BEEF,MEAT,0.3580404335386208,top_5_filtered_similarity_mean,A_campaign_ready,low,APPLES,PRODUCE,0.2522396962151765,TROPICAL FRUIT,PRODUCE,0.3157515828963674,top_5_filtered_similarity_mean,,unknown,BACON,MEAT-PCKGD,0.2488796177918003,EGGS,GROCERY,0.2782867893324901,top_5_filtered_similarity_mean,,unknown,True,M3_RecSys_personalized_voucher,low
2092,1,0.7373745,1.0,1,0.5,41.8663065562148,20.9331532781074,0.08,0,0.0,0.0,1,10,High Risk - Low Value,12,41.8663065562148,368,-4.748802166277421,False,8.373261311242961,4.186630655621481,-4.476671160249108,False,10.4665766390537,5.23328831952685,-3.995208665109682,False,12.55989196686444,6.27994598343222,368,12,risk_rank_fallback_no_positive_base_profit,A/B test candidate only; not profitable under base assumptions,"No positive expected profit under base scenario; use risk/risk-value ranking for A/B test candidate selection, not auto-targeting.",TROPICAL FRUIT,PRODUCE,0.3336864153292039,FLUID MILK PRODUCTS,GROCERY,0.377251208615489,top_5_filtered_similarity_mean,,unknown,COLD CEREAL,GROCERY,0.3304005559615025,FLUID MILK PRODUCTS,GROCERY,0.4036067148908331,top_5_filtered_similarity_mean,A_campaign_ready,low,HOT DOGS,MEAT-PCKGD,0.2452658155456919,BAKED BREAD/BUNS/ROLLS,GROCERY,0.3003419980271218,top_5_filtered_similarity_mean,,unknown,True,M3_RecSys_personalized_voucher,unknown
